Frequency,Raw_MAE,CNN_MAE,Raw_RMSE,CNN_RMSE,Raw_Correlation,CNN_Correlation
50,53096.19921875,13183.916015625,62358.61396791946,22197.685645129764,-0.03172029624285273,0.005853676701684221
51,62333.96875,13676.919921875,73981.21448043415,24521.00878838389,0.008651380872019304,-0.010415689063617459
52,68528.4453125,16830.90234375,81818.56845484403,30534.450052358894,0.005532818041630993,-0.007707473874372735
56,175375.328125,20276.88671875,197263.3141362073,41056.434915856975,0.024941208813373417,-0.005656115967189336
60,316962.28125,33170.08984375,352205.68245273957,62838.47178281789,0.012274885151488035,-0.008505811739973895
61,242482.96875,29425.583984375,268459.4108911066,53926.364016128515,-0.012061236418194943,-0.010201306347284875
65,489525.53125,33956.98828125,536771.6895068145,93609.86751406072,-0.01013992743660087,-0.006168756141195188
69,261388.125,28952.939453125,294550.8204979236,62107.51142977796,0.0027485237757742262,-0.00047735265733790276
74,219003.171875,25850.28515625,242821.65096218252,53893.41065473589,-0.004161661707068608,-0.0034566005464529573
78,194836.4375,21378.701171875,216681.38334430117,48089.0693609265,0.01486410025584592,-0.004371881834079838
79,179596.828125,23320.390625,201525.06543852057,47800.04753135712,0.0011308692237089596,-0.005469754664148614
83,146827.3125,28439.681640625,181223.00957659874,49222.86558094723,-0.057368040802105794,0.005324763519047834
87,166355.5,23800.314453125,197844.68348682002,53153.76758048295,0.06384619704063753,-0.0034788201535795467
88,173029.8125,25522.59375,206763.0419586634,57701.98748743409,-0.020385342938926812,-0.007891898461763741
92,151215.390625,22303.865234375,184299.22105098545,49556.608116375355,0.02012379033088859,-0.006376595951843768
95,131014.6171875,23451.505859375,152664.05512759052,41305.750108187116,0.00031667197468222185,-0.0069424611288922255
96,83176.1875,14861.9453125,97871.69527498745,25738.31136652131,-0.008402204836549937,-0.007686775429391271
97,52299.2578125,13963.263671875,60424.21342475217,21153.54608570393,-0.00488114240605858,0.0031493852692386208
100,20376.673828125,12203.7626953125,24996.913729498687,18506.182318349725,0.05404564210830354,0.005523855679323698
