Frequency,Raw_MAE,FIR_MAE,FFT_MAE,Butter_MAE,Wavelet_MAE
50,53096.19921875,591410.748788268,11186.62890625,52339.05438515555,44930.443654446695
51,62333.96875,600178.4740203378,11206.509765625,61524.61085297078,45988.337539737986
52,68528.4453125,605786.2892385987,11292.5732421875,66764.7483328339,33399.00498243505
56,175375.328125,701736.4943051303,12241.833984375,150166.45676179908,16201.75078591797
60,316962.28125,576299.7239262977,13539.919921875,48318.53636186703,18410.57774843641
61,242482.96875,573956.1337529388,13345.7548828125,30632.48218448616,16300.545231521424
65,489525.53125,582480.0119549395,13499.697265625,40076.74021708177,24254.190530102045
69,261388.125,570449.0184391091,14411.7275390625,28689.01546839362,18440.44266541998
74,219003.171875,565627.6606864334,18086.7109375,25655.48891541943,19919.111423017755
78,194836.4375,567382.1644835052,18433.330078125,27655.85446244643,19927.217485376732
79,179596.828125,565981.8545984649,18883.240234375,25464.127636928908,19902.031143273143
83,146827.3125,579411.6448570042,18161.671875,36759.70172674707,19172.895306673654
87,166355.5,681097.686602966,17602.7578125,102002.41264993873,19201.49734560361
88,173029.8125,691681.4581925506,18505.900390625,135642.42278941438,19696.007289490866
92,151215.390625,680631.4411932381,17838.708984375,134209.0686364882,41114.318777170694
95,131014.6171875,668156.8811362791,18229.98828125,130754.20034604019,118986.47193499899
96,83176.1875,620894.7279352867,17328.5546875,82662.64256013188,82529.82332341754
97,52299.2578125,590543.1743612984,19202.91796875,51714.40630066865,48126.716840556015
100,20376.673828125,558703.0288500657,18863.5,19139.421836776746,18885.29133973159
